frame,channel_id,x,y,area,length,mean_intensity,is_dividing
40,4,478,686,205.0,28,105.1392405063291,True
40,5,553,685,197.0,25,113.32599118942733,True
41,2,326,683,286.5,33,150.22839506172838,True
41,22,1844,681,358.5,48,113.59854014598541,True
41,15,1313,680,265.5,31,142.71760797342193,True
41,13,1163,683,150.5,22,96.1638418079096,True
41,12,1087,683,160.0,25,101.83597883597884,True
41,4,478,685,222.0,29,114.1921568627451,True
41,18,1541,678,188.5,24,131.57142857142858,True
42,8,781,681,247.0,29,138.41637010676155,True
42,2,326,683,290.5,33,134.38601823708206,True
42,15,1313,680,273.0,32,128.4368932038835,True
42,13,1163,684,141.0,22,96.39520958083833,True
42,4,478,686,232.0,31,108.3768656716418,True
42,18,1542,678,161.0,23,116.8563829787234,True
43,8,782,682,244.0,28,144.28057553956836,True
43,15,1314,679,294.5,34,132.97897897897897,True
43,13,1164,685,163.0,24,100.23560209424085,True
43,16,1391,682,176.5,24,116.46829268292683,True
43,10,934,685,210.5,29,100.07786885245902,True
43,4,479,686,237.5,30,109.45588235294117,True
43,11,1009,682,246.5,31,114.01063829787233,True
43,18,1543,679,167.0,22,121.68556701030927,True
43,21,1770,680,270.0,32,137.48208469055376,True
44,8,781,682,250.5,29,141.42605633802816,True
44,13,1164,686,135.0,21,104.7888198757764,True
44,2,327,683,298.0,33,153.9406528189911,True
44,22,1847,682,178.5,24,99.08212560386472,True
44,4,478,687,237.0,30,113.16544117647058,True
44,18,1542,679,180.5,23,122.52884615384616,True
44,0,176,687,98.0,15,92.96610169491525,True
45,13,1163,686,158.0,24,99.68279569892474,True
45,15,1313,681,291.5,33,139.7355623100304,True
45,0,175,685,113.0,17,98.17910447761194,True
45,18,1543,678,166.0,23,117.35751295336787,True
46,15,1313,681,303.5,34,128.87719298245614,True
46,4,479,687,227.5,31,99.05703422053232,True
46,0,175,684,127.0,18,91.53333333333335,True
46,21,1770,681,279.5,32,132.4384858044164,True
46,18,1542,679,152.0,21,102.42134831460673,True
46,2,326,682,298.5,36,128.21533923303835,True
47,15,1312,681,310.0,35,123.55428571428571,True
47,22,1846,682,175.0,24,91.44117647058823,True
47,0,174,686,123.5,16,97.71034482758621,True
47,18,1541,679,158.5,21,105.75135135135136,True
47,4,477,685,262.5,34,102.53973509933775,True
47,2,326,682,326.5,37,135.47826086956522,True
48,1,248,683,342.0,42,106.1516709511568,True
48,22,1846,681,186.5,26,90.28110599078342,True
48,18,1541,678,157.0,22,98.30054644808743,True
48,13,1163,685,159.0,25,81.85714285714285,True
48,11,1009,682,244.5,31,109.89642857142857,True
48,0,174,684,117.5,18,86.57142857142857,True
49,14,1237,681,403.5,45,123.00881057268724,True
49,5,553,683,254.0,35,83.60884353741497,True
49,4,477,684,249.5,35,86.67128027681662,True
49,18,1541,678,159.0,22,91.20430107526883,True
49,11,1009,680,275.5,33,106.82428115015973,True
49,0,174,685,124.0,18,78.63265306122449,True
49,10,934,683,243.0,34,85.60283687943262,True
50,13,1162,683,185.0,27,74.62962962962962,True
50,22,1846,680,180.5,27,72.87793427230046,True
50,18,1541,678,149.0,21,84.38857142857142,True
50,11,1009,680,279.5,33,101.8391167192429,True
50,0,173,682,137.0,19,75.9,True
51,8,780,680,251.5,29,106.14685314685315,True
51,22,1846,679,210.0,31,71.82926829268294,True
51,18,1541,677,149.0,21,81.01724137931035,True
51,0,174,683,123.5,18,71.44520547945206,True
52,8,780,679,286.0,31,122.84782608695652,True
52,18,1541,677,144.5,20,80.49704142011834,True
52,0,174,682,137.0,20,75.0679012345679,True
52,4,478,683,233.5,35,75.007326007326,True
52,19,1615,681,448.0,52,101.26138613861386,True
53,8,780,679,274.5,30,110.40967741935484,True
53,0,174,683,132.0,20,71.31210191082803,True
53,18,1541,677,140.5,20,73.2060606060606,True
53,10,933,683,268.5,38,74.46302250803859,True
53,4,477,682,285.5,38,76.50914634146342,True
53,2,325,680,350.0,40,94.62784810126583,True
54,0,174,681,149.5,20,77.13714285714286,True
54,18,1542,674,133.0,21,82.32278481012658,True
54,6,629,679,294.5,36,96.05970149253731,True
54,2,326,679,319.0,38,103.87292817679558,True
54,4,477,681,257.5,36,76.9261744966443,True
54,13,1161,679,224.0,35,74.4106463878327,True
54,15,1312,676,364.0,41,111.79756097560976,True
55,0,174,680,131.0,20,80.94871794871794,True
55,2,326,676,366.0,42,108.63592233009707,True
55,22,1846,675,251.0,35,85.96206896551725,True
55,18,1542,673,133.0,20,85.99363057324841,True
55,15,1312,676,346.5,38,134.62564102564102,True
56,0,174,680,126.0,19,69.99333333333334,True
56,16,1389,676,279.5,39,74.15789473684211,True
56,11,1009,674,303.5,36,94.50872093023256,True
56,22,1844,675,244.0,35,71.67844522968198,True
56,10,933,679,247.0,39,66.18620689655172,True
56,18,1542,673,132.0,20,71.12820512820512,True
57,0,173,680,141.5,20,65.7409638554217,True
57,11,1009,675,290.0,34,84.61702127659575,True
57,1,248,678,379.5,43,95.0,True
57,10,933,680,264.0,41,65.59870550161813,True
57,18,1543,674,109.0,18,65.51145038167938,True
58,11,1009,675,298.5,35,87.74260355029585,True
58,0,174,681,131.5,19,64.81290322580645,True
58,14,1236,677,459.5,54,97.81660231660231,True
58,18,1542,674,126.5,19,64.83333333333334,True
58,21,1769,676,379.5,45,86.70232558139534,True
58,6,629,678,305.5,38,83.06303724928367,True
59,0,174,681,125.0,19,66.73648648648648,True
59,10,933,681,291.5,42,66.56508875739645,True
59,15,1312,674,392.5,43,103.62217194570137,True
59,18,1543,675,98.0,17,65.78991596638654,True
59,6,629,678,311.0,38,84.24293785310735,True
60,8,780,677,271.0,31,100.23452768729642,True
60,15,1312,674,390.5,43,104.65753424657534,True
60,18,1542,675,97.5,15,62.889830508474574,True
60,22,1844,676,252.0,39,63.90540540540541,True
60,19,1616,678,239.5,30,79.10583941605839,True
60,10,933,680,326.0,47,66.10344827586206,True
60,0,174,680,130.5,20,65.91612903225807,True
60,6,629,679,302.5,37,77.46802325581395,True
60,11,1009,675,324.5,36,92.69041095890411,True
61,1,247,682,368.5,42,98.8701923076923,True
61,22,1844,676,321.0,42,79.12228260869566,True
61,18,1542,675,102.5,16,69.38211382113822,True
61,2,325,678,335.0,40,85.14999999999999,True
61,17,1467,677,235.0,35,71.36861313868613,True
61,0,173,680,160.5,21,71.36021505376344,True
61,6,629,679,308.5,38,87.10826210826211,True
61,11,1008,675,320.0,36,100.01939058171745,True
61,5,554,680,158.5,24,67.31550802139037,True
62,21,1769,677,412.0,50,86.25695931477516,True
62,18,1542,675,98.0,16,67.04201680672269,True
62,11,1008,676,317.5,35,100.74581005586593,True
62,2,325,678,366.0,43,101.06763285024154,True
62,0,174,680,145.5,21,73.56140350877193,True
62,6,629,679,323.5,38,91.91825613079018,True
62,5,554,679,183.5,27,75.2139534883721,True
63,0,174,680,140.0,22,72.64457831325302,True
63,18,1543,676,90.0,16,68.03636363636363,True
63,11,1009,677,301.0,35,97.99120234604105,True
63,2,325,679,376.0,43,101.34117647058822,True
63,4,477,680,346.0,47,78.54156171284635,True
63,5,554,681,162.0,24,75.35602094240838,True
64,0,174,680,160.0,23,69.94652406417111,True
64,22,1845,678,321.5,43,77.03243243243244,True
64,18,1543,677,89.0,16,65.26363636363637,True
64,2,325,680,372.0,43,93.16666666666667,True
64,4,478,682,310.5,48,65.0633608815427,True
64,6,630,681,320.0,38,90.34159779614325,True
64,5,555,685,164.0,24,72.13020833333333,True
65,18,1543,677,72.0,15,66.62637362637363,True
65,2,325,681,369.5,43,95.54436450839327,True
65,4,478,682,161.5,23,74.05820105820105,True
65,6,629,680,329.5,40,96.40106951871657,True
65,10,933,693,353.5,50,76.18872549019608,True
65,0,173,681,150.5,22,79.0225988700565,True
66,15,1312,677,409.0,44,140.10917030567686,True
66,16,1387,683,371.0,50,93.6235294117647,True
66,4,478,682,154.0,23,85.83516483516485,True
66,18,1542,676,87.0,15,78.5188679245283,True
66,3,400,682,298.0,41,98.94460641399417,True
66,0,174,680,161.0,23,91.73936170212765,True
66,5,553,683,183.0,27,87.94418604651163,True
67,8,780,677,291.0,33,103.37082066869301,True
67,4,478,681,183.0,25,71.24528301886792,True
67,18,1542,675,81.0,15,65.23762376237624,True
67,15,1312,677,423.0,45,118.9217758985201,True
67,0,173,680,179.0,23,78.83009708737863,True
67,10,933,688,325.0,52,66.05511811023622,True
67,5,553,681,202.0,31,70.42194092827003,True
68,11,1008,677,364.5,40,120.88508557457213,True
68,4,478,680,198.5,27,82.54782608695652,True
68,1,247,684,433.0,50,109.75614754098362,True
68,2,325,679,392.0,47,106.9054054054054,True
68,13,1162,679,338.0,48,86.43076923076923,True
68,0,173,682,153.0,21,85.20670391061452,True
68,8,780,678,294.0,33,125.47289156626506,True
68,10,935,694,166.0,25,81.95384615384616,True
68,5,554,679,205.0,35,74.94672131147541,True
69,6,629,679,336.0,40,90.66929133858268,True
69,15,1311,676,443.0,47,112.57777777777778,True
69,22,1843,676,385.5,50,78.26818181818182,True
69,9,856,680,557.5,66,93.53184713375796,True
69,0,173,681,167.5,22,75.04123711340206,True
69,8,780,677,297.0,34,100.40949554896143,True
69,10,935,694,163.5,26,68.64948453608247,True
69,5,553,680,217.5,32,67.18110236220473,True
70,4,477,682,353.5,53,77.09975669099757,True
70,16,1390,683,187.0,28,77.76818181818182,True
70,15,1312,676,463.0,49,126.77562862669245,True
70,12,1087,682,150.0,23,75.55932203389831,True
70,0,173,681,154.0,21,85.12222222222222,True
70,8,779,678,311.0,35,119.7891737891738,True
